Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
117,107.10016,191.38216,752.668,90,1.1900017,30
118,106.01516,194.73763,755.9929,91,1.1650017,30
119,104.880165,198.22807,813.71783,92,1.1400018,30
120,117.645164,201.60855,853.99274,93,1.2650018,30
121,116.560165,203.20737,857.9176,94,1.2400018,30
122,129.67517,206.50615,861.7925,95,1.3650018,30
123,128.64017,208.72325,861.7925,96,1.3400018,30
124,127.555176,211.20041,861.7925,97,1.3150018,30
125,141.12018,211.59756,866.7671,98,1.4400018,30
126,140.08519,213.40302,889.592,99,1.4150019,30
127,154.00018,215.27344,893.31683,100,1.5400019,30
128,153.0152,220.00392,896.9917,101,1.5150019,30
129,167.2802,222.13937,900.6166,102,1.6400019,30
130,166.3452,224.02484,904.1914,103,1.6150019,30
131,165.3602,227.54031,927.6663,104,1.590002,30
132,164.32521,229.12581,931.29114,105,1.565002,30
133,163.2402,234.15123,975.366,106,1.540002,30
134,162.10521,236.26175,979.1909,107,1.515002,30
135,160.92023,239.42715,1003.51575,108,1.490002,30
136,61.58524,250.95752,1007.3906,109,0.5650022,29
137,59.400246,254.83252,1032.0654,110,0.5400022,29
138,57.16525,257.8454,1056.9904,111,0.51500225,29
139,155.68024,252.3325,1061.0151,112,1.3900021,30
140,154.24524,255.09944,1064.99,113,1.3650022,30
141,50.160263,264.18628,1068.9149,114,0.44000232,29
142,47.72527,268.7286,1115.9897,115,0.41500235,29
143,167.04025,277.59497,1120.1146,116,1.4400022,28
144,165.55527,280.8335,1167.9894,117,1.4150022,28
145,164.02026,275.08966,1172.3142,118,1.3900023,29
146,162.43527,276.42468,1176.5891,119,1.3650023,29
147,160.80028,275.10098,1180.814,120,1.3400023,29
148,159.11528,279.8135,1229.9886,121,1.3150023,29
149,157.38028,282.66055,1234.4135,122,1.2900023,29
150,650.253,275.46057,1238.7883,122,5.3299427,30
151,652.5079,280.55276,1243.1132,123,5.304942,30
152,654.71277,284.77478,1247.3881,124,5.2799416,30
153,168.8403,300.3883,1298.1127,126,1.3400024,29
154,167.00531,305.78006,1302.5875,127,1.3150024,29
155,165.12032,309.7823,1330.5624,128,1.2900025,29
156,663.0322,302.24466,1335.0872,128,5.1799393,30
157,664.9871,305.41803,1339.562,129,5.1549387,30
158,666.89197,310.4165,1343.9868,130,5.129938,30
159,668.7468,316.25497,1372.5116,131,5.1049376,30
160,670.5517,319.86838,1376.9865,132,5.079937,30
161,672.3065,321.05188,1381.4113,133,5.0549364,30
162,674.0114,314.98874,1385.786,134,5.029936,31
163,173.56525,309.16504,1414.8608,133,1.3050019,32
164,171.52025,313.7675,1419.2856,134,1.2800019,32
165,169.42526,326.98254,1423.6604,135,1.2550019,31
166,167.28026,327.78046,1453.1852,136,1.2300019,31
167,185.63527,331.76724,1482.96,137,1.3550019,31
168,183.54027,338.22336,1487.4847,138,1.330002,31
169,181.39528,341.7262,1517.6095,139,1.305002,31
170,179.20029,344.48697,1547.9843,140,1.280002,31
171,176.95529,348.63336,1578.609,141,1.255002,31
172,174.6603,352.36212,1583.3838,142,1.230002,31
173,172.31529,357.22137,1614.3585,143,1.2050021,31
174,594.66846,349.80157,1619.1833,135,4.4049516,32
175,595.67334,353.11526,1623.9581,136,4.379951,32
176,596.62823,358.53986,1682.0828,137,4.3549504,32
177,597.5331,364.64572,1713.9076,138,4.32995,32
178,598.38794,372.1173,1745.9823,139,4.3049493,32
179,599.1928,363.19003,1751.1571,140,4.2799487,33
180,274.0297,352.99185,1756.2819,134,2.0449977,34
181,272.69962,354.76697,1761.3567,135,2.0199971,34
182,291.71954,356.50964,1766.3815,136,2.1449966,34
183,290.43945,361.89948,1771.3563,137,2.119996,34
184,289.10938,363.75403,1776.281,138,2.0949955,34
185,287.7293,366.00842,1781.1559,139,2.069995,34
186,286.2992,358.3551,1814.1805,140,2.0449944,35
187,284.81912,360.5006,1819.1053,141,2.0199938,35
188,283.28906,360.76324,1823.9801,142,1.9949934,35
189,254.27727,356.9308,1857.4548,104,2.4449737,36
190,254.09718,359.60278,1862.3796,105,2.4199731,36
191,253.8671,361.17896,1896.2043,106,2.3949726,36
192,253.587,365.78848,1901.1791,107,2.369972,36
193,253.25691,368.81473,1906.1039,108,2.3449714,36
194,252.87682,374.06168,1940.3787,109,2.3199708,36
195,252.44673,378.39203,1974.9033,110,2.2949703,36
196,291.74863,392.84613,1979.9781,150,1.9449909,35
197,289.91864,397.9306,1985.0029,151,1.9199909,35
198,288.03864,403.02493,1989.9777,152,1.8949909,35
199,309.05853,405.16782,1994.9025,153,2.0199904,35
200,330.32846,408.1693,2030.0771,154,2.14499,35
201,328.59836,412.73224,2065.5017,155,2.1199894,35
202,326.81827,415.09808,2070.5767,156,2.0949888,35
