Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
116,1703.8435,688.2189,2203.9688,433,3.9349735,37
117,1778.2681,696.57477,2208.3433,438,4.059973,37
118,1853.9427,713.4323,2212.4675,443,4.1849723,37
119,1863.6674,724.2787,2216.342,448,4.1599717,37
120,1941.0919,738.99,2219.9663,453,4.284971,37
121,2019.7666,742.68384,2223.3408,458,4.4099708,37
122,2030.2412,740.5627,2226.465,463,4.38497,37
123,556.3148,729.395,2229.3396,456,1.2199886,38
124,620.03973,744.18677,2231.9639,461,1.3449886,37
125,1127.3867,717.6458,2234.3381,463,2.4349606,39
126,1127.8613,726.3181,2236.4885,468,2.40996,39
127,1128.0858,731.0226,2238.363,473,2.3849595,39
128,748.49506,719.6703,2335.9756,439,1.7050002,40
129,745.9201,729.89777,2338.1,444,1.6800002,40
130,743.0951,742.7638,2534.9753,449,1.6550002,40
131,740.0201,743.89624,2538.0999,454,1.6300002,40
132,736.6951,729.84155,2540.9744,459,1.6050003,41
133,1339.9941,785.5593,2643.3489,400,3.3499854,39
134,1346.6189,805.96497,2646.4731,405,3.3249848,39
135,1537.4937,817.0386,2750.5974,410,3.7499845,39
136,1545.8683,826.73785,2855.972,415,3.724984,39
137,1616.993,846.4114,2859.8464,420,3.8499835,39
138,680.85535,832.1356,2863.4707,343,1.985001,40
139,682.0803,864.8084,2971.0952,348,1.960001,39
140,683.05536,875.3757,2974.9697,353,1.935001,39
141,737.48035,880.8656,2978.594,358,2.060001,39
142,576.8755,907.42444,2981.9683,355,1.6250013,38
143,576.0005,914.8783,2985.0928,360,1.6000013,38
144,574.8755,932.47174,2987.967,365,1.5750014,38
145,573.5005,945.9742,2990.5916,370,1.5500014,38
146,571.87555,959.9304,2992.9658,375,1.5250014,38
147,570.00055,950.03033,3105.3403,380,1.5000014,39
148,577.8755,910.8631,3107.9646,345,1.6750014,41
149,610.2803,904.1907,3110.3389,292,2.0900009,42
150,613.3051,895.2965,3112.4631,297,2.0650003,43
151,751.98,892.7747,3114.3376,302,2.49,43
152,253.00537,883.2145,3115.962,303,0.83500123,44
153,295.6804,880.81635,3232.0862,308,0.96000123,45
154,292.6554,891.58344,3233.9604,313,0.93500125,45
155,337.0804,893.51483,3235.585,318,1.0600013,45
156,369.30536,894.6192,3353.9592,317,1.1650012,46
157,367.08038,894.57404,3355.8335,322,1.1400012,47
158,364.6054,906.09784,3475.9578,327,1.1150012,47
159,361.8804,923.2843,3597.3323,332,1.0900012,47
160,409.4554,933.7539,3599.9565,337,1.2150012,47
161,406.98044,935.62427,3723.0808,342,1.1900012,47
162,404.25543,950.4025,3968.9553,347,1.1650013,47
163,401.28046,958.02075,3973.0796,352,1.1400013,47
164,191.29553,945.75586,4099.954,351,0.5450015,48
165,238.52054,941.87134,4104.328,356,0.6700015,48
166,232.84555,953.9482,4108.452,361,0.64500153,48
167,281.82056,965.1032,4112.3267,366,0.77000153,48
168,495.75552,1000.7725,4115.9507,377,1.3150014,47
169,327.12057,990.75244,4119.325,376,0.87000155,48
170,131.4456,997.0639,4122.449,381,0.34500158,48
171,228.00064,950.9877,4125.323,380,0.6000017,50
172,279.12564,963.6506,4127.9478,385,0.7250017,50
173,273.00067,975.2204,4130.322,390,0.7000017,50
174,266.6257,968.85986,4132.4463,395,0.67500174,51
175,260.0007,977.7139,4134.3203,400,0.65000176,51
176,1712.5862,1004.8137,4135.9443,381,4.494977,50
177,1783.3109,1008.18054,4137.319,386,4.6199765,50
178,1796.6356,1012.5136,4138.443,391,4.594976,50
179,1809.7102,1001.37775,4273.567,396,4.5699754,51
180,136.50061,977.1935,4274.9414,390,0.35000157,52
181,128.37563,987.3189,4366.542,395,0.3250016,52
182,120.00065,1013.1083,4367.916,400,0.30000162,51
183,111.37566,1024.5018,4643.54,405,0.27500165,51
184,164.00069,1079.218,4783.914,410,0.40000167,49
185,681.1206,1061.1008,4786.788,396,1.7200015,50
186,679.6956,1073.4719,4928.9126,401,1.6950015,50
187,678.0206,1079.5798,5072.2866,406,1.6700015,50
188,676.09564,1057.6217,5075.9106,411,1.6450015,51
189,673.92065,1068.1475,5079.2847,416,1.6200016,51
190,671.49567,1082.2802,5224.9087,421,1.5950016,51
191,668.8207,1094.3302,5371.7827,426,1.5700016,51
192,730.5457,1110.154,5375.9067,431,1.6950016,51
193,1050.769,1094.2476,5379.7803,422,2.489974,52
194,1052.5437,1100.7771,5528.9043,427,2.4649734,52
195,1054.0682,1119.928,5533.0283,432,2.4399729,52
196,1055.3429,1139.0275,5683.9023,437,2.4149723,52
197,1056.3676,1153.9921,5836.0264,442,2.3899717,52
198,1057.1421,1174.7611,5989.4004,447,2.3649712,52
199,1057.6667,1172.2874,6144.0244,452,2.3399706,52
200,916.0958,1182.6432,6149.8984,471,1.9450017,51
201,1127.2659,1219.7659,6306.2725,462,2.4399695,50
202,1127.7905,1256.116,6312.3965,467,2.414969,49
203,1128.0651,1270.7186,6318.2705,472,2.3899684,49
204,1128.0896,1286.3333,6323.894,477,2.3649678,49
205,1056.7117,1270.9567,6329.268,476,2.2199826,50
206,1055.7864,1286.7064,6643.392,481,2.194982,50
207,1054.611,1299.7911,6805.016,486,2.1699815,50
208,1053.1857,1302.4049,6811.89,491,2.144981,50
209,1051.5103,1311.7109,6818.514,496,2.1199803,50
210,1049.5848,1327.4984,6982.388,501,2.0949798,50
211,1047.4094,1348.7275,7147.5117,506,2.0699792,50
212,1044.9841,1326.3025,7154.8857,511,2.0449786,51
213,1042.3087,1333.8184,7162.01,516,2.019978,51
214,1039.3834,1339.0168,7329.384,521,1.9949777,51
215,1115.1082,1334.0181,7336.7573,526,2.1199775,51
216,1112.4327,1324.7234,7505.8813,531,2.094977,51
217,1189.9073,1334.5415,7676.2554,536,2.2199764,51
218,1430.9321,1329.1844,7847.8794,541,2.6449761,51
219,1430.5067,1339.6826,8020.753,546,2.6199756,51
220,1429.8312,1341.8058,8194.877,551,2.594975,51
221,1428.9058,1338.4448,8370.251,556,2.5699744,51
222,1427.7303,1355.0486,8713.375,561,2.5449739,51
223,239.10612,1349.0573,8724.749,493,0.48500228,52
224,229.08115,1377.5679,9071.872,498,0.4600023,51
225,735.93396,1404.2538,9252.996,489,1.5049775,50
226,731.1089,1355.8607,9252.996,494,1.4799775,51
227,726.03375,1389.134,9252.996,499,1.4549775,50
228,720.7087,1384.3444,9252.996,504,1.4299775,50
229,715.1336,1397.7466,9252.996,509,1.4049776,50
230,709.3085,1375.6937,9252.996,514,1.3799776,51
231,703.2334,1373.751,9252.996,519,1.3549776,51
232,696.90826,1380.2885,9252.996,524,1.3299776,51
233,690.3332,1384.7139,9252.996,529,1.3049777,51
234,43.60609,1407.6494,9252.996,513,0.085002124,50
235,108.781105,1411.4525,9252.996,518,0.21000214,50
236,96.756134,1426.4697,9252.996,523,0.18500216,50
237,163.68117,1435.6876,9252.996,528,0.3100022,50
238,151.90619,1434.3204,9252.996,533,0.28500223,50
239,645.63257,1467.8661,9252.996,559,1.1549778,49
240,637.3075,1471.4502,9252.996,564,1.1299778,49
241,628.7324,1467.9646,9252.996,569,1.1049778,49
242,619.9073,1473.2754,9252.996,574,1.0799779,49
243,172.98131,1514.2192,9252.996,558,0.31000236,48
244,160.45634,1523.4307,9252.996,563,0.28500238,48
245,147.68137,1537.9491,9252.996,568,0.2600024,48
246,134.65639,1555.0841,9252.996,573,0.23500243,48
247,121.38142,1571.8041,9416.718,578,0.21000245,48
248,107.856445,1574.8854,9423.842,583,0.18500248,48
249,182.28148,1563.9293,9430.715,588,0.3100025,48
250,169.0065,1562.4395,9437.339,593,0.28500253,48
251,245.18153,1531.547,9820.213,598,0.41000256,49
252,232.15656,1541.2689,10016.836,603,0.38500258,49
253,218.88159,1559.913,10214.71,608,0.3600026,49
254,205.35661,1590.3682,10223.333,613,0.33500263,48
255,284.28165,1611.3448,10614.206,618,0.46000266,48
256,470.10596,1683.4977,10623.829,644,0.7299782,46
257,457.53088,1648.2174,10633.203,649,0.7049782,47
258,444.70578,1667.4188,11029.325,654,0.67997825,47
259,431.63068,1716.362,11039.699,659,0.6549783,46
260,517.9056,1756.2993,11244.822,664,0.7799783,45
261,505.08047,1776.6555,11451.195,669,0.7549783,45
262,492.0054,1812.3514,11462.319,674,0.7299783,45
263,478.6803,1842.19,11670.442,679,0.70497835,45
264,465.1052,1858.1525,11681.815,684,0.6799784,45
265,451.28012,1874.2184,11692.939,689,0.6549784,45
266,437.20502,1867.7448,11903.3125,694,0.6299784,45
267,422.87994,1866.1184,11914.686,699,0.60497844,45
268,408.30484,1913.8746,11925.809,704,0.57997847,44
269,393.47974,1917.0103,11936.683,709,0.5549785,44
270,378.40466,1932.3221,11947.306,714,0.5299785,44
271,363.07956,1948.005,11957.68,719,0.50497854,44
272,1658.4542,2005.5474,12171.803,811,2.0449498,43
273,1648.2786,2004.6759,12182.426,816,2.0199492,43
274,1637.853,2024.0481,12192.8,821,1.9949489,43
275,1627.1777,2020.6573,12202.923,826,1.9699489,43
276,1616.2526,2030.7867,12212.797,831,1.9449489,43
277,1730.477,2047.1298,12222.42,836,2.0699487,43
278,1719.8014,2090.798,12231.794,841,2.044948,42
279,1708.8756,2094.3367,12240.917,846,2.0199475,42
280,1697.7001,2092.754,12249.79,851,1.9949472,42
281,1686.2748,2147.371,12469.163,856,1.9699472,41
282,1674.5996,2147.3694,12689.786,861,1.9449472,41
283,1662.6743,2149.2974,12911.659,866,1.9199473,41
284,1650.4991,2151.7625,12921.782,871,1.8949473,41
285,1638.0739,2153.1357,12931.656,876,1.8699473,41
286,1757.5485,2147.8745,12941.279,881,1.9949472,41
287,1745.3733,2205.9558,12950.652,886,1.9699472,40
288,3197.7349,2258.5996,12959.776,897,3.5649219,39
289,3328.309,2261.3167,13185.399,902,3.6899214,39
290,3324.0833,2262.3833,13194.772,907,3.6649208,39
291,3319.6072,2265.4307,13203.8955,912,3.6399202,39
292,3314.8813,2272.2056,13212.77,917,3.6149197,39
293,3309.9055,2264.767,13441.142,922,3.589919,39
294,1791.2949,2330.6582,13450.266,921,1.9449456,38
295,1777.8696,2267.6108,13680.388,926,1.9199456,39
296,1764.1943,2275.5527,13689.762,931,1.8949456,39
297,1750.2692,2276.0957,13698.885,936,1.8699456,39
298,1736.0939,2314.4187,13707.758,941,1.8449457,38
299,1721.6686,2305.0488,13716.382,946,1.8199457,38
300,1706.9934,2298.3848,13724.755,951,1.7949457,38
301,1692.0681,2267.47,13732.878,956,1.7699457,39
302,1676.8928,2274.7363,13740.751,961,1.7449458,39
303,268.07672,2230.436,13748.375,879,0.3049792,40
304,247.50163,2238.8245,13755.748,884,0.27997923,40
305,226.67656,2251.136,13762.871,889,0.25497925,40
306,205.60147,2244.8225,13769.745,894,0.22997928,40
307,184.2764,2249.086,13776.368,899,0.2049793,40
308,162.70131,2262.793,13782.741,904,0.17997932,40
309,1340.8832,2393.562,13788.864,888,1.5100036,38
310,1460.0582,2457.3884,13794.737,893,1.6350036,37
311,1134.0022,2527.987,13800.361,869,1.3049507,36
312,1118.677,2533.9604,13805.734,874,1.2799507,36
313,1103.1017,2610.1543,13810.857,879,1.2549508,35
314,1219.8765,2631.1785,13815.73,884,1.3799508,35
315,1204.5513,2610.3872,13820.3545,889,1.3549508,35
316,7774.9688,2604.46,13824.728,841,9.244909,35
317,7800.043,2614.2388,13828.851,846,9.219909,35
318,7824.8667,2624.0962,13832.724,851,9.194908,35
319,7849.441,2627.1082,13836.347,856,9.169908,35
320,3229.9597,2544.5178,13839.72,850,3.7999525,36
321,3227.584,2526.3596,13842.844,855,3.774952,36
322,7921.663,2594.4814,13845.717,871,9.094906,35
323,7945.237,2589.937,13848.34,876,9.069905,35
324,7968.561,2584.7212,13850.713,881,9.044905,35
325,7991.6353,2595.0652,14096.586,886,9.019904,35
326,3211.955,2667.2751,14099.209,880,3.649949,34
327,3208.0793,2691.7874,14101.582,885,3.6249485,34
328,3913.631,2697.5403,14349.704,863,4.5349145,34
329,3914.6052,2705.6729,14352.327,868,4.509914,34
330,3915.3293,2714.897,14354.701,873,4.4849133,34
331,3915.8035,2714.8276,14356.824,878,4.459913,34
332,3916.0276,2717.08,14358.697,883,4.434912,34
333,3916.0015,2707.9749,14360.32,888,4.4099116,34
334,3915.7256,2715.9668,14361.693,893,4.384911,34
335,3915.1997,2716.1692,14362.816,898,4.3599105,34
336,3914.4236,2726.4585,14363.689,903,4.33491,34
337,3913.3977,2654.9033,14364.3125,908,4.3099093,35
